conceptFrom,conceptTo,metaOntology,nodeType,Category 1,Category 2,Category 3,Country,First Name,Last Name,Gender,Suffix,Language,Acronym,Valence,Evaluation,Potency,Activity,Affect Mean,Military Role,Political Role,Religious Role ,,,
http://www.stopfake.org/en/fake-ukraine-fears-mass-exodus-if-russian-visas-are-introduced/,stopfake.org/en/fake-ukraine-fears-mass-exodus-if-russian-visas-are-introduced/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-halts-electrical-power-to-crimea/,stopfake.org/en/fake-ukraine-halts-electrical-power-to-crimea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-has-no-heat-organizes-public-warming-centers/,stopfake.org/en/fake-ukraine-has-no-heat-organizes-public-warming-centers/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-has-no-money-for-eurovision-2017/,stopfake.org/en/fake-ukraine-has-no-money-for-eurovision-2017/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-launches-federalization/,stopfake.org/en/fake-ukraine-launches-federalization/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-national-team-excludes-zozulya/,stopfake.org/en/fake-ukraine-national-team-excludes-zozulya/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-on-the-verge-of-a-second-chornobyl/,stopfake.org/en/fake-ukraine-on-the-verge-of-a-second-chornobyl/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-placed-on-map-of-modern-nazism/,stopfake.org/en/fake-ukraine-placed-on-map-of-modern-nazism/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-refuses-to-respect-human-rights-in-southeast-of-country/,stopfake.org/en/fake-ukraine-refuses-to-respect-human-rights-in-southeast-of-country/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-air-defense-can-t-protect-kyiv/,stopfake.org/en/fake-ukraine-s-air-defense-can-t-protect-kyiv/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-currency-market-will-collapse-without-transfers-from-russia/,stopfake.org/en/fake-ukraine-s-currency-market-will-collapse-without-transfers-from-russia/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-defense-ministry-invites-separatist-militants-to-join-its-ranks/,stopfake.org/en/fake-ukraine-s-defense-ministry-invites-separatist-militants-to-join-its-ranks/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-foreign-ministry-accuses-eu-of-betrayal/,stopfake.org/en/fake-ukraine-s-foreign-ministry-accuses-eu-of-betrayal/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-general-staff-extends-terms-of-service-for-conscripts/,stopfake.org/en/fake-ukraine-s-general-staff-extends-terms-of-service-for-conscripts/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-health-ministry-abandons-cancer-patients/,stopfake.org/en/fake-ukraine-s-health-ministry-abandons-cancer-patients/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-military-industrial-complex-ruined/,stopfake.org/en/fake-ukraine-s-military-industrial-complex-ruined/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-new-holiday-day-of-the-avenger-2/,stopfake.org/en/fake-ukraine-s-new-holiday-day-of-the-avenger-2/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-new-law-bans-kuchma-and-kravchuk/,stopfake.org/en/fake-ukraine-s-new-law-bans-kuchma-and-kravchuk/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-soliciting-funds-to-host-eurovision-2017/,stopfake.org/en/fake-ukraine-soliciting-funds-to-host-eurovision-2017/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-poltava-region-demands-federalization-from-kyiv/,stopfake.org/en/fake-ukraine-s-poltava-region-demands-federalization-from-kyiv/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-president-acknowledges-donbas-loss/,stopfake.org/en/fake-ukraine-s-president-acknowledges-donbas-loss/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-s-presidential-administration-doesn-t-know-who-founded-canada/,stopfake.org/en/fake-ukraine-s-presidential-administration-doesn-t-know-who-founded-canada/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
